date,crop,temp,min_temp,max_temp,rainfall,humidity,soil_ph,water_requirement,growth_duration,weather_condition
2026-06-12,rice,25.6,23.03,29.09,200.83,80.15,6.9,10.0,120,rainy
2026-06-13,rice,23.83,19.51,26.93,298.56,84.81,6.27,10.0,120,rainy
2026-06-14,rice,26.31,23.3,29.38,265.54,82.37,7.22,10.0,120,rainy
2026-06-15,rice,24.9,21.07,27.47,183.68,80.53,6.13,10.0,120,rainy
2026-06-16,rice,24.96,21.84,28.68,196.96,84.48,5.21,10.0,120,rainy
2026-06-17,rice,23.24,19.7,26.75,233.05,84.59,7.78,10.0,120,rainy
2026-06-18,rice,21.67,18.07,24.27,210.81,80.71,7.06,10.0,120,rainy
2026-06-19,rice,24.64,21.77,27.69,253.72,80.41,7.73,10.0,120,rainy
2026-06-20,rice,23.43,18.99,27.75,219.9,83.06,5.29,10.0,120,rainy
2026-06-21,rice,20.05,16.0,23.02,208.58,80.35,6.77,10.0,120,rainy
2026-06-22,rice,23.86,19.48,26.65,195.09,82.23,7.38,10.0,120,rainy
2026-06-23,rice,21.97,17.68,25.45,227.36,81.9,5.66,10.0,120,rainy
2026-06-24,rice,26.23,22.53,30.7,286.51,83.84,5.54,10.0,120,rainy
2026-06-25,rice,23.45,19.1,26.43,283.93,84.79,6.22,10.0,120,rainy
2026-06-26,rice,25.66,22.98,29.5,217.38,83.47,7.12,10.0,120,rainy
2026-06-27,rice,24.44,21.55,28.47,267.98,82.45,5.95,10.0,120,rainy
2026-06-28,rice,20.28,17.69,23.26,191.95,82.12,7.24,10.0,120,rainy
2026-06-29,rice,21.72,18.57,25.68,277.96,80.24,6.5,10.0,120,rainy
2026-06-30,rice,20.41,17.14,23.65,245.15,82.21,7.59,10.0,120,rainy
2026-07-01,rice,25.76,22.71,29.52,245.66,83.52,5.88,10.0,120,rainy
2026-07-02,rice,20.62,16.46,24.38,279.55,83.77,6.93,10.0,120,rainy
2026-07-03,rice,21.84,18.63,25.41,202.38,80.73,6.95,10.0,120,rainy
2026-07-04,rice,20.08,17.02,22.76,263.64,83.29,5.74,10.0,120,rainy
2026-07-05,rice,24.46,20.87,28.63,182.56,82.75,6.74,10.0,120,rainy
2026-07-06,rice,21.14,18.36,24.29,198.67,80.34,5.59,10.0,120,rainy
2026-07-07,rice,25.79,21.68,28.66,243.51,82.11,6.95,10.0,120,rainy
2026-07-08,rice,23.64,20.99,26.22,263.11,80.29,5.01,10.0,120,rainy
2026-07-09,rice,23.43,18.96,27.11,269.5,80.57,6.36,10.0,120,rainy
2026-07-10,rice,24.98,20.93,28.83,204.8,83.89,6.88,10.0,120,rainy
2026-07-11,rice,22.73,19.83,25.26,260.89,82.17,7.3,10.0,120,rainy
2026-07-12,rice,24.87,22.36,28.4,295.61,82.84,6.59,10.0,120,rainy
2026-07-13,rice,21.32,17.19,24.28,192.32,83.0,7.28,10.0,120,rainy
2026-07-14,rice,26.29,22.38,30.09,257.49,84.57,7.02,10.0,120,rainy
2026-07-15,rice,22.23,18.27,25.08,278.08,81.86,6.94,10.0,120,rainy
2026-07-16,rice,26.73,22.69,30.61,280.4,81.79,7.87,10.0,120,rainy
2026-07-17,rice,24.89,22.24,28.16,185.95,81.98,5.01,10.0,120,rainy
2026-07-18,rice,26.88,23.67,31.26,194.58,81.46,6.14,10.0,120,rainy
2026-07-19,rice,22.68,19.95,25.45,200.91,83.73,7.52,10.0,120,rainy
2026-07-20,rice,26.09,21.86,29.27,182.9,80.38,5.71,10.0,120,rainy
2026-07-21,rice,25.43,21.68,28.16,195.36,82.95,5.76,10.0,120,rainy
2026-07-22,rice,26.4,23.24,30.75,223.37,81.06,6.35,10.0,120,rainy
2026-07-23,rice,26.04,23.42,30.3,186.75,84.97,6.0,10.0,120,rainy
2026-07-24,rice,25.28,22.16,28.3,220.12,80.54,5.45,10.0,120,rainy
2026-07-25,rice,22.09,18.94,25.91,231.74,83.47,6.37,10.0,120,rainy
2026-07-26,rice,23.29,19.33,27.42,242.32,81.43,5.11,10.0,120,rainy
2026-07-27,rice,25.49,21.71,29.1,182.65,81.41,5.94,10.0,120,rainy
2026-07-28,rice,23.68,19.4,27.24,233.7,81.04,5.18,10.0,120,rainy
2026-07-29,rice,20.82,17.38,23.81,230.22,84.13,6.46,10.0,120,rainy
2026-07-30,rice,26.93,24.19,29.62,290.68,81.91,7.07,10.0,120,rainy
2026-07-31,rice,23.84,19.91,28.13,241.2,83.88,7.47,10.0,120,rainy
2026-08-01,rice,26.53,22.51,30.83,218.92,80.12,6.16,10.0,120,rainy
2026-08-02,rice,26.46,22.84,30.23,248.23,83.86,7.55,10.0,120,rainy
2026-08-03,rice,22.7,18.65,25.87,257.0,82.81,6.03,10.0,120,rainy
2026-08-04,rice,22.68,19.2,25.88,194.27,83.46,6.6,10.0,120,rainy
2026-08-05,rice,21.53,17.99,25.49,295.92,82.14,6.5,10.0,120,rainy
2026-08-06,rice,21.41,18.05,25.7,287.58,83.33,5.94,10.0,120,rainy
2026-08-07,rice,26.54,23.99,30.82,183.62,84.67,7.07,10.0,120,rainy
2026-08-08,rice,23.36,20.64,27.42,188.41,83.6,5.33,10.0,120,rainy
